"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"NR4A2",3.63923475670525e-07
"LOC100130691",3.64013052579256e-07
"DUSP1",3.65452817062843e-07
"FKBP11",3.65452817062843e-07
"MARC2",3.66366377364673e-07
"AMN1",3.6655820720616e-07
"FLJ23867",3.68035478808752e-07
"GARNL3",3.70378946414557e-07
"PIM3",3.72224132277386e-07
"H72914",3.76586081873376e-07
"PPP1R3D",3.76586081873376e-07
"PPP2R1A",3.76586081873376e-07
"SEC22A",3.81160814267354e-07
"CHSY1",3.90155967292904e-07
"SLC45A4",3.90162570859828e-07
"SERPING1",3.90162570859828e-07
"THBS1",3.93915694655295e-07
"SETDB2",3.9474913933442e-07
"LINC01616",3.96609721465075e-07
"SLC8A1",3.99003172317123e-07
"C12orf76",4.03977419154231e-07
"PGM2",4.09178644928946e-07
"MIR4738",4.09686518364976e-07
"DUBR",4.10229242230476e-07
"C4B_2",4.1128503544719e-07
"NOP14",4.1128503544719e-07
"DDX28",4.13546126035434e-07
"DAP",4.13546126035434e-07
"SASH1",4.15361004377922e-07
"COL4A3",4.15401638256917e-07
"GAMT",4.16231513219375e-07
"AU145679",4.17192359371696e-07
"USP13",4.20251822233804e-07
"SGCD",4.24648937367143e-07
"RBPMS",4.26440001181455e-07
"REPS2",4.34666432207341e-07
"SEZ6L",4.34666432207341e-07
"FRRS1L",4.36678396971173e-07
"MIR21",4.38376222112207e-07
"ANGPT1",4.38416765610786e-07
"POLR1B",4.39717605811951e-07
"TMEM246",4.43793747051116e-07
"PARL",4.4462304934873e-07
"IFT20",4.46010949083573e-07
"PIGS",4.57040513501689e-07
"ZNF138",4.58671722597888e-07
"VARS",4.62198306885578e-07
"FIG4",4.63107001240486e-07
"RRBP1",4.67624799866157e-07
"KIAA1549L",4.67624799866157e-07
"AKAP6",4.67624799866157e-07
"RNF20",4.70169138325639e-07
"CDIPT",4.7163055134933e-07
"NCOA7",4.7163055134933e-07
"CCP110",4.7169542175919e-07
"SLC10A3",4.7169542175919e-07
"LSAMP",4.7372954020866e-07
"AA524123",4.7372954020866e-07
"RDH10",4.7372954020866e-07
"KRT8",4.7630774412774e-07
"BU617042",4.83543858648838e-07
"DNAJC6",4.84115970400571e-07
"LOC101927137",4.84684474171333e-07
"GPLD1",4.85506930156053e-07
"LOC101929280",4.85506930156053e-07
"TFEB",4.85506930156053e-07
"CDKN2A",4.8620916157318e-07
"PAIP1",4.86632703440799e-07
"MFSD2A",4.89319463107246e-07
"BEND4",4.8991415003262e-07
"C10orf107",4.91690143267615e-07
"PPM1A",4.92211463310038e-07
"FOXO1",4.94122112615466e-07
"GTF3A",5.01161329172189e-07
"RAP1GDS1",5.01415893325128e-07
"DDX20",5.08215045274412e-07
"SLCO3A1",5.1000608897534e-07
"242556_at",5.1000608897534e-07
"HNRNPUL2-BSCL2",5.1000608897534e-07
"C18orf25",5.10213395157105e-07
"GRAMD4",5.1598553176767e-07
"SLC35A5",5.18619991397294e-07
"TGOLN2",5.19422472307154e-07
"VDAC3",5.20007067618865e-07
"PTK2",5.20007067618865e-07
"PDS5B",5.22351220514823e-07
"ARNT2",5.22351220514823e-07
"CREM",5.22351220514823e-07
"DLG5",5.22351220514823e-07
"NOL12",5.22543240836944e-07
"OSBPL6",5.22543240836944e-07
"SNORD104",5.2321124282246e-07
"MIEF1",5.2321124282246e-07
"SLC35A2",5.23516119807888e-07
"POLR3C",5.2379888690662e-07
"CDK2AP2",5.25809550796775e-07
"LDLRAP1",5.25809550796775e-07
"MRPL10",5.25809550796775e-07
"STAT3",5.29632442270644e-07
"STRBP",5.30957132842088e-07
"NREP",5.48275391132245e-07
"NSMAF",5.49443280547101e-07
"LOC728730",5.4978106491198e-07
"USO1",5.53566373798573e-07
"SLC45A3",5.53628658928336e-07
"FIBP",5.53628658928336e-07
"PKIB",5.53628658928336e-07
"SSBP2",5.53628658928336e-07
"CDKN1A",5.53821179775246e-07
"STARD9",5.55943990013498e-07
"APMAP",5.59433471600485e-07
"ATP5B",5.60346431066264e-07
"ELAC1",5.6212202826453e-07
"ARID5B",5.67898807063718e-07
"KIF5C",5.67898807063718e-07
"CNOT8",5.67898807063718e-07
"MERTK",5.6813109462945e-07
"AK022078",5.75564722541426e-07
"SH3BP5",5.7955017582502e-07
"TMEM163",5.82260614794684e-07
"ZFYVE28",5.87229638282859e-07
"NHSL1",5.90306521528392e-07
"GALNT12",5.92167419594441e-07
"MRPL9",5.92452164080419e-07
"AA418878",5.92452164080419e-07
"SLC23A2",5.92838955367594e-07
"RPS19",5.95995309377476e-07
"RDH10",5.96397666169139e-07
"CXCR4",6.00369415709791e-07
"LINC00672",6.0040937529267e-07
"LY96",6.00670872810482e-07
"DNAJC3",6.06754429052558e-07
"MIEF1",6.08203199245257e-07
"TOR1AIP2",6.10841921564775e-07
"FAM60A",6.11523413440474e-07
"SORBS2",6.14921141350859e-07
"IDH1",6.19837810087769e-07
"PMF1",6.21435011341148e-07
"DHRS11",6.23765412473141e-07
"KIAA1217",6.27582321094383e-07
"CEP85L",6.30443356475553e-07
"IDH3B",6.35721389327446e-07
"DCDC2",6.37734913643795e-07
"PERP",6.37795220919382e-07
"RARRES1",6.37795220919382e-07
"INMT-FAM188B",6.37795220919382e-07
"ORC5",6.37795220919382e-07
"C11orf96",6.39287058569845e-07
"STAT3",6.41126780253732e-07
"PURA",6.42827472024724e-07
"COX7B",6.49304260203596e-07
"GPR27",6.5252569912657e-07
"KDM4B",6.53181260631854e-07
"FAM43A",6.53181260631854e-07
"BG231709",6.53181260631854e-07
"HSD11B1L",6.53224903857496e-07
"FAM3B",6.56318393173019e-07
"CALM3",6.60135810228617e-07
"RHOB",6.63772487656068e-07
"DNM3",6.69413125189129e-07
"CREB3L2",6.71634480929052e-07
"IDH3B",6.78930437989829e-07
"SLC4A1AP",6.79292109748816e-07
"ASTN2",6.7987984214977e-07
"HLF",6.81782919779765e-07
"SLC35F3",6.83727627314267e-07
"DUSP5",6.83727627314267e-07
"PDE7B",6.85263223471565e-07
"VRK1",6.86058803018455e-07
"TIMP4",6.96543558962477e-07
"CSRNP3",6.98252679102006e-07
"PRUNE1",7.07812004166746e-07
"MLLT3",7.07847644823321e-07
"GPR85",7.07847644823321e-07
"TTC5",7.09897315722213e-07
"ANKRD50",7.09897315722213e-07
"ADGRB2",7.11825692552461e-07
"PAQR8",7.15016504534554e-07
"ERCC8",7.15016504534554e-07
"BEND5",7.21058017887012e-07
"NANOS1",7.25054465332624e-07
"RAB27A",7.25787806941664e-07
"RTN4",7.30827124694846e-07
"TRIP13",7.34329395708782e-07
"CISD2",7.37401573386902e-07
"PLIN2",7.37401573386902e-07
"SGIP1",7.38991364004432e-07
"RMDN2",7.39145836902429e-07
"HIPK2",7.46983633698853e-07
"GPM6B",7.49330044609144e-07
"BTD",7.51819673957945e-07
"PIP5K1B",7.51819673957945e-07
"NR4A1",7.52802880364819e-07
"C6orf203",7.5368353611506e-07
"TULP3",7.5412973624076e-07
"C11orf49",7.59276038786805e-07
"CDH2",7.67319283590476e-07
"CCDC115",7.69606155112766e-07
"BHLHE22",7.69606155112766e-07
"ANO5",7.69606155112766e-07
"GTF2E1",7.90523687269889e-07
"PRKCH",8.03616115959417e-07
"RPS19",8.03616115959417e-07
"STAT3",8.03616115959417e-07
"AK000141",8.03616115959417e-07
"PRR5-ARHGAP8",8.03816927667566e-07
"MAN2B2",8.04388138803979e-07
"RSF1",8.07564759864316e-07
"IFITM1",8.14826850196094e-07
"NECAP1",8.32061371081447e-07
"FAM49A",8.40417885216885e-07
"ZNF709",8.41501173849023e-07
"MRAP2",8.41575034783937e-07
"MLEC",8.43953517696649e-07
"FILIP1L",8.45046875866227e-07
"GRIA2",8.48935717052286e-07
