"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"BI668873",7.73104516247236e-09
"EMC4",7.76597372526032e-09
"ZMIZ1-AS1",7.96083010854801e-09
"GAP43",7.96821408722081e-09
"AP3D1",7.98228602145761e-09
"MIR6080",7.98829400218833e-09
"ZNF446",7.98902794109142e-09
"TMEM230",8.06639707330498e-09
"HUWE1",8.07922406746566e-09
"ADCY9",8.17336271368470e-09
"DCAF1",8.18600668457593e-09
"FAM224A",8.22996588047851e-09
"CEP44",8.55318094325778e-09
"MSANTD3",8.68286714962725e-09
"GINS2",8.81708281305764e-09
"BRK1",8.83696955836424e-09
"ATP5G3",9.05408381769403e-09
"ARFIP1",9.13841071186798e-09
"AA417892",9.13841071186798e-09
"L1CAM",9.13841071186798e-09
"LOC100507387",9.2245193598186e-09
"HGD",9.41122836498254e-09
"LOC145678",9.55324922935161e-09
"SEC13",9.58191678022055e-09
"DAP3",9.58191678022055e-09
"MIR1306",9.83648730293257e-09
"HIF1AN",9.83648730293257e-09
"RAB12",9.89172352931733e-09
"TNP1",9.91881022050751e-09
"SFT2D1",9.91881022050751e-09
"AI921894",1.02550084991568e-08
"ANKRD27",1.03191628126759e-08
"CCDC134",1.04389980098606e-08
"DHH",1.06706027995962e-08
"HEMK1",1.09278844000808e-08
"LOC105378052",1.09696298691464e-08
"PIP",1.10630458974023e-08
"GAPVD1",1.11571128899888e-08
"ACAD10",1.14550944454764e-08
"UBE2D2",1.14550944454764e-08
"AW205208",1.15933261314063e-08
"HAUS2",1.1645555848939e-08
"AL109698",1.16578416733093e-08
"RBMS3-AS3",1.17034319212207e-08
"CFAP70",1.17115407167268e-08
"CYLD",1.17115407167268e-08
"CNTLN",1.20531834601486e-08
"AI270858",1.20531834601486e-08
"SPATA16",1.20824956534848e-08
"ZFX",1.21238610829765e-08
"LOC100289230",1.22324258558918e-08
"TRUB1",1.269454826106e-08
"ALG1",1.28316558388645e-08
"MXD3",1.29016444470266e-08
"ST3GAL6",1.32712636856045e-08
"LOC101927274",1.34103259563469e-08
"IBSP",1.34103259563469e-08
"MPHOSPH9",1.37214455168035e-08
"DHX15",1.37214455168035e-08
"TGFB1",1.40448679831176e-08
"APAF1",1.42952818689453e-08
"SHC4",1.43107974406643e-08
"AI674070",1.43241519579765e-08
"SNX12",1.43582814169439e-08
"AK000864",1.43937309539315e-08
"BE969885",1.45056460820524e-08
"RBBP4",1.4558638911051e-08
"AA830326",1.46191081436321e-08
"MED23",1.46191081436321e-08
"PGAM1",1.46191081436321e-08
"PBXIP1",1.46365487259058e-08
"EIF2B1",1.47490730249966e-08
"ZNF253",1.47490730249966e-08
"AK021989",1.47490730249966e-08
"SHISA3",1.47490730249966e-08
"WNK1",1.48392357425883e-08
"ADGRA3",1.48968326803134e-08
"CCDC186",1.49113370357852e-08
"COX6A2",1.49113370357852e-08
"RAD51",1.49405029117582e-08
"PSMG3",1.49563999915442e-08
"SMYD2",1.49615093413285e-08
"AK093532",1.49615093413285e-08
"CRABP1",1.51046668883841e-08
"RNF139-AS1",1.51046668883841e-08
"LINC01494",1.53060008532043e-08
"C21orf2",1.54428082607929e-08
"CIAPIN1",1.56264172967168e-08
"AA860184",1.5630027145896e-08
"LOC100506368",1.58197965260125e-08
"TRADD",1.58197965260125e-08
"TESC",1.63172479709405e-08
"BG745857",1.63172479709405e-08
"MYH8",1.63967558133567e-08
"IPO5P1",1.6689056543085e-08
"WDR5",1.67602544641657e-08
"TSPYL1",1.7202565337144e-08
"LANCL2",1.72640306720128e-08
"AU156760",1.76916989758791e-08
"LOC100506684",1.76916989758791e-08
"AL049285",1.81884507061436e-08
"216387_x_at",1.82419789087021e-08
"AK021505",1.83154492974096e-08
"GPAA1",1.83154492974096e-08
"RBM26",1.86853023517207e-08
"PENK",1.87522638618379e-08
"IQGAP3",1.88549697876669e-08
"KLHL8",1.90350949029705e-08
"RDM1",1.93127244467818e-08
"AW135348",1.96265571544067e-08
"PPARA",1.96588918943423e-08
"NKIRAS1",1.98632918471032e-08
"APP",1.99557361798117e-08
"RNF103",2.0048040176222e-08
"LINC00851",2.01534932424605e-08
"RAB12",2.01534932424605e-08
"CDK13",2.02587578489598e-08
"KIAA2026",2.0514169400491e-08
"ADD2",2.08541831344388e-08
"GATSL2",2.09577434658866e-08
"AW136853",2.15879169611212e-08
"BMPR2",2.16240709021717e-08
"RNF180",2.20222986212313e-08
"F7",2.21098859474472e-08
"LETM1",2.2486034692904e-08
"POLR2D",2.26836832223119e-08
"DMRT3",2.28547102894107e-08
"AI703273",2.28769057215489e-08
"SERBP1",2.28769057215489e-08
"241159_x_at",2.29229084302195e-08
"LOC100130429",2.31295773273313e-08
"AL109726",2.31295773273313e-08
"IGFN1",2.31295773273313e-08
"ADNP",2.33037149742697e-08
"MAGEE1",2.33770283964857e-08
"DNAJC30",2.33770283964857e-08
"KPTN",2.33770283964857e-08
"GDNF",2.36217860351334e-08
"CBLC",2.36390789577907e-08
"MLLT10",2.36390789577907e-08
"DCLK2",2.37658361113144e-08
"TOR1AIP2",2.37658361113144e-08
"DNAJC13",2.40188140439065e-08
"FTCD",2.46838015169495e-08
"R11532",2.47024358885865e-08
"DDX31",2.47360593457131e-08
"LOC101927814",2.50583990393748e-08
"TMEM204",2.51663674669711e-08
"TRIP4",2.5458096745249e-08
"KLHDC4",2.55986803731267e-08
"SAMD11",2.61857444818067e-08
"VIL1",2.65813842049453e-08
"LOC257152",2.65813842049453e-08
"N29850",2.65813842049453e-08
"KIAA0368",2.69188060240103e-08
"ZNF75A",2.69188060240103e-08
"KLHL24",2.73945508064688e-08
"SHFM1",2.75750421767734e-08
"PREP",2.75750421767734e-08
"AA742279",2.80162484642276e-08
"RRBP1",2.82897940919106e-08
"C20orf166-AS1",2.84583533164551e-08
"LOC100131180",2.88037231061758e-08
"CLEC2L",2.88037231061758e-08
"NT5M",2.90126545869615e-08
"RNF207",2.90610095912209e-08
"SYT5",2.91879065459044e-08
"LAS1L",2.94325870316241e-08
