"geneNames.as.numeric.rownames.res_coef2...","res_coef2.logFC","res_coef2.adj.P.Val"
"ENGASE",-0.717353500000008,0.767267268469711
"LOC102723542",-1.5605915,0.767267268469711
"ENOSF1",-3.22777200000001,0.770325472668738
"PXDC1",-2.6182805,0.770768840240539
"LOC100289230",1.24845083333333,0.772421272293097
"HSPH1",-1.72630500000001,0.772421272293097
"AA329983",-0.986246000000002,0.772421272293097
"AGTPBP1",1.227832,0.772421272293097
"ZNF436-AS1",1.59682116666666,0.772421272293097
"ZKSCAN1",0.891662999999994,0.772421272293097
"SESN3",-2.30359233333334,0.776202371841232
"AV650380",1.148225,0.777446337744847
"ST7-AS1",2.3250985,0.777446337744847
"SUPT4H1",1.56803866666666,0.781744828173894
"TMEM176A",-3.16034883333333,0.782686928568341
"TAGLN2",-3.77352366666667,0.783174041971368
"KCNH2",1.17272383333333,0.783174041971368
"AK021836",3.01897366666666,0.783174041971368
"STARD13",2.61869583333333,0.783174041971368
"SNORD14D",-0.916325000000002,0.785831067988495
"AA810258",1.19573666666667,0.787610822280589
"MCOLN3",-4.556845,0.787610822280589
"NUDT1",0.687052333333331,0.787610822280589
"LOC100507855",-2.37704733333334,0.788350068409823
"COL13A1",1.718159,0.789656997176627
"DNER",-2.00972333333333,0.793699792047994
"DDR2",6.26353966666666,0.793699792047994
"SBNO2",-2.57656733333333,0.793699792047994
"BRF1",0.855679333333332,0.793699792047994
"SESN3",-1.20448716666667,0.793699792047994
"ETNK1",-1.67220916666668,0.793699792047994
"PELI1",-1.77871883333333,0.793699792047994
"STK3",-0.906155000000007,0.793699792047994
"STARD4",-1.72347583333333,0.793699792047994
"LIMA1",-1.70218616666667,0.793699792047994
"TMED5",-0.901000000000005,0.793699792047994
"F12",-0.858561500000001,0.793699792047994
"LOC284513",1.56406766666666,0.793699792047994
"BE672140",0.589492333333332,0.793699792047994
"PLD1",1.74394733333333,0.793699792047994
"N34402",1.30773016666666,0.793699792047994
"NEU1",-1.38762733333334,0.793699792047994
"GPRC5B",-2.76939183333334,0.793699792047994
"CHORDC1",-1.36125300000001,0.793699792047994
"TIMM17A",-0.738453333333332,0.793699792047994
"PNPLA8",-0.738950000000008,0.793699792047994
